Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,15360 | To ensure Gudiya Kumari gets enrolled in school by obtaining an Aadhar card | 0.707
,,,,,,29011 | To improve school attendance by addressing the issue of lack of Aadhar cards | 0.8703
,,,,,,28843 | To increase enrollment by raising awareness about the importance of birth certificates and Aadhar cards for education | 0.7817
,,,,,,4030 | To get Aadhar and birth certificates made for 3 girls and enroll them in school | 0.7258
,,,,,,28848 | To get the Aadhar card made for her child to enable enrollment in school | 0.819
,,,,,,28849 | To solve the problem of not being enrolled in school due to lack of Aadhar card | 0.8688
,,,,,,3893 | To raise awareness about the importance of birth certificates and Aadhar cards for education and to facilitate their creation for children in the community | 0.7671
,,,,,,28850 | To improve education by helping people get their Aadhar cards made | 0.7856
,,,,,,28851 | To increase Aadhar card enrollment by addressing the issue of not having an Aadhar card | 0.7203
,,,,,,28852 | To get an Aadhar card made | 0.8178
,,,,,,29015 | To improve education by creating necessary documents like Aadhar cards and birth certificates for children in Saraya village | 0.7247
,,,,,,29016 | To improve education by spreading awareness about the importance of Aadhar cards and encouraging regular school attendance | 0.8082
,,,,,,"29023 | To ensure every child in the village has an Aadhar card, which is essential for accessing school benefits | 0.8421"
,,,,,,29024 | To help Pooja Kumari get an Aadhar card to receive benefits from the school | 0.7202
,,,,,,"17684 | To facilitate school admission by ensuring all children have an Aadhaar card, addressing the issue of lack of identification documents | 0.8799"
,,,,,,28885 | To ensure Gudiya Kumari is not expelled from school due to lack of an Aadhaar card | 0.7414
,,,,,,4119 | To help 9 children get admitted to school by creating their Aadhar cards | 0.854
,,,,,,4198 | To empower women by helping them create Aadhar cards and enroll their children in school | 0.7598
,,,,,,11475 | To educate the children of Tarachandi and secure the future of girls by enrolling them in school and making their Aadhar cards | 0.7319
,,,,,,"16957 | To facilitate Aadhar card enrollment for underprivileged children, addressing the issue of lack of identification and access to education | 0.8653"
,,,,,,15219 | To help a child get admission in school by obtaining an Aadhar card and birth certificate | 0.8029
,,,,,,15273 | To facilitate school enrollment by assisting children and parents in obtaining Aadhar cards | 0.8786
,,,,,,29267 | To help Khushi Kumari get enrolled in school by obtaining a birth certificate | 0.6402
,,,,,,19829 | To ensure accurate identification and enrollment of children in school by correcting their names in the Aadhar card | 0.7843
,,,,,,"4250 | To provide Aadhaar related information and help in getting Aadhaar made for children, and to enroll them in school | 0.7551"
,,,,,,20754 | To improve education in Sariya Gaanv by addressing the issue of enrollment due to Aadhar card problems | 0.7597
,,,,,,"29307 | To increase awareness about the importance of education and essential documents like Aadhaar cards and birth certificates, and to help children access these services, enabling them to attend school regularly. | 0.7496"
,,,,,,4116 | To help children get their Aadhar cards corrected and enrolled in school | 0.8622
,,,,,,3965 | To facilitate school admission for children without Aadhar cards by creating the necessary documents and providing support to their parents. | 0.8207
,,,,,,"3921 | To enroll children in school by obtaining Aadhar cards, ensuring access to education and government facilities | 0.8841"
,,,,,,3998 | To improve school enrollment by addressing the issue of missing date of birth in TC and Aadhar cards | 0.7812
,,,,,,3932 | To help children get enrolled and receive government benefits by making Aadhaar cards | 0.809
,,,,,,15758 | To ensure Sandesh Kumar can attend school regularly by obtaining an Aadhar card | 0.7152
,,,,,,20962 | To correct names in Aadhar cards to enable children to get admitted to school and receive education | 0.8023
,,,,,,15359 | To enable children to attend school by obtaining an Aadhar card | 0.8851
,,,,,,15310 | To help Ruby Kumari get her Aadhar card made by correcting the wrong name of her father | 0.6243
,,,,,,4257 | To facilitate the creation of Aadhaar cards for children in the community by addressing the issue of non-residence status | 0.795
,,,,,,28427 | To facilitate school admission and government scheme benefits by generating Aadhar cards for students | 0.818
,,,,,,"28429 | To facilitate school admission by creating Aadhaar cards for villagers, particularly focusing on the benefits of government schemes and the importance of Aadhaar cards for educational purposes. | 0.7505"
,,,,,,28430 | To improve Aadhar card enrollment in the community by providing information on where and how to get the Aadhar card made | 0.7091
,,,,,,15324 | To get the date of birth in the Aadhar card corrected so that Chandani Kumari can get enrolled in class 8th | 0.6258
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9093
,,,,,,28473 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,29271 | To help children get Aadhar cards so they can get admission to school | 0.8685
,,,,,,29381 | To help Ravi Kumar get an Aadhaar card and enroll in class 6 | 0.647
,,,,,,29387 | To help Ankit Kumar get his Aadhaar card made by obtaining a birth certificate | 0.7395
,,,,,,29504 | To help Radhika Kumari get enrolled in class 6 by correcting her Aadhar card date of birth | 0.6311
,,,,,,29506 | To help Luv Kumar get an Aadhaar card for school enrollment by informing his parents about its importance and facilitating the process with Vikas Mitra | 0.6884
,,,,,,29511 | To help Madhavi Kumari get an Aadhar card and receive government benefits from school | 0.6648
,,,,,,32206 | To improve education in the community by encouraging parents to obtain birth certificates and Aadhaar cards for their children | 0.7638
,,,,,,"30582 | To resolve Aadhaar-related issues due to incorrect date of birth in Benugarh, Kishanganj, Bihar | 0.6501"
,,,,,,29707 | To improve education by ensuring children have Aadhar cards and attend school regularly | 0.8638
,,,,,,34466 | To improve education in Rohtas by addressing the issue of disruption in education due to illness and lack of Aadhaar cards | 0.7233
,,,,,,40431 | To help Aditya Kumar get an Aadhar card so he can avail government benefits | 0.6968
,,,,,,"30968 | To improve education by helping students obtain Aadhaar cards, which are required for school enrollment | 0.8315"
,,,,,,"30858 | To address the issue of children dropping out of school due to lack of Aadhaar card and date of birth, and to promote education as a means to prevent child labour and child marriage | 0.8022"
,,,,,,29561 | To help Rupa Kumari get her Aadhar card made with the help of Abhilasha Didi and Anya | 0.6411
,,,,,,31774 | To ensure all children have Aadhar cards and birth certificates to facilitate their education | 0.8311
,,,,,,40497 | To enroll 17 children without Aadhaar cards in school and ensure they receive education | 0.8676
,,,,,,40397 | To enroll children in school and provide them with necessary documents like Aadhar card and birth certificate | 0.8244
,,,,,,32178 | To enable children to attend school by obtaining necessary documents such as birth certificates and Aadhaar cards | 0.8035
,,,,,,40468 | To improve regular school attendance by addressing the issue of missing Aadhaar cards | 0.8259
,,,,,,29512 | To help Ankush Kumar get an Aadhar card to enroll in school and avail government benefits | 0.6931
,,,,,,"30869 | To ensure all children have access to education by facilitating the acquisition of Aadhaar cards, which are necessary for school admission | 0.8582"
,,,,,,31045 | To increase school enrollment by addressing the issue of Aadhar card requirements | 0.8747
550e8400-e29b-41d4-a716-446655440003,Early Marriage,"This theme captures responses where child marriage or early marriage prevents girls from continuing their education. It includes situations where early marriage leads to school dropout, limits learning opportunities, or shifts responsibilities toward household duties instead of schooling.","Child marriage,marriage,early marriage,shadi,vivah,baal vivah,underage marriage,married off,got married young,left school after marriage,nikah,banning child marriage,marriage girls,run away,ban child marriage,married after,girls should,preventing child marriage,marriage before 18,underage marriage,minor married,married in childhood,marriage at 14,marriage at 15,married before school complete,dropout after marriage,forced to marry,marriage arranged young,married off early,engagement of minor,nikah at young age,early nikah,married off daughters early,girls withdrawn for marriage,marry after 18,married class 8, adolescent marriage,forced marriage",Approved,185,28523 | To educate girls and avoid child marriage | 0.7725
,,,,,,4074 | To increase girls' enrollment in school by educating parents about the importance of education for girls | 0.6447
,,,,,,28535 | To encourage girls to pursue education and prevent child marriage | 0.8045
,,,,,,8061 | To prevent child marriages by creating awareness | 0.6887
,,,,,,28537 | To promote education and prevent child marriage and child labor | 0.669
,,,,,,15007 | To empower girls through education and ensure they get married at a suitable age | 0.6752
,,,,,,28608 | To empower adolescent girls through education and prevent child marriage | 0.7421
,,,,,,"28548 | To address the issue of school dropout due to distance and lack of transportation, and to empower girls to continue their education through community-led initiatives. | 0.6343"
,,,,,,4091 | To increase access to education for girls by addressing the issue of missing birth certificates | 0.6523
,,,,,,28610 | To create awareness about the importance of education and encourage girls to attend school regularly | 0.6021
,,,,,,14941 | To educate girls and stop early marriage | 0.7217
,,,,,,28614 | To increase girls' attendance in school by addressing the root causes of low attendance and promoting the importance of education | 0.6532
,,,,,,28613 | To raise awareness about the importance of education and prevent child marriage in Balbhadra village | 0.6328
,,,,,,41580 | To raise awareness about the importance of education among girls and their families | 0.6094
,,,,,,41590 | To increase awareness about the importance of education and enroll girls in school | 0.6015
,,,,,,40610 | To stop child marriage and ensure education for children in Gurhani village | 0.685
,,,,,,41664 | To re-enroll a drop-out girl child in school and emphasize the importance of education in her life | 0.6958
,,,,,,40674 | To re-enroll children who dropped out of school due to domestic reasons | 0.6232
,,,,,,3837 | To prevent child marriage in Jakkalli by conducting an awareness program on its consequences | 0.618
,,,,,,40699 | To prevent child marriage and promote education among boys and girls in the village | 0.7133
,,,,,,28570 | To help girls continue their education beyond matriculation | 0.6281
,,,,,,40799 | To empower girls through education and reduce child marriage | 0.7166
,,,,,,40800 | To ensure girls receive a full education and become self-sufficient | 0.6165
,,,,,,40865 | To prevent child marriage and promote education among teenage girls | 0.7838
,,,,,,40885 | To educate parents about the importance of education and prevent child marriage | 0.8056
,,,,,,40921 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,4142 | To address the issue of girls not attending school and child marriage in the community | 0.7451
,,,,,,4171 | To educate girls and prevent child marriage in Bihar | 0.6181
,,,,,,41001 | To improve access to education for girls by addressing the issue of birth certificates | 0.6294
,,,,,,41043 | To educate girls about the importance of education and the negative impacts of child marriage | 0.7924
,,,,,,"41101 | To address the issue of girls dropping out of school due to lack of information and understanding among parents, and to promote self-reliance through education | 0.7355"
,,,,,,28623 | To empower girls through education and reduce dropout rates | 0.6323
,,,,,,41176 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41184 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,5905 | To address the issue of child marriage and encourage girls to stay in school | 0.8021
,,,,,,41191 | To solve the problem of girls dropping out of school in Mahadalit communities | 0.6704
,,,,,,"41219 | To prevent child marriage and encourage girls to continue their studies, thereby empowering them to make informed decisions about their lives. | 0.6431"
,,,,,,4156 | To educate girls who had dropped out of school due to various reasons | 0.7084
,,,,,,4035 | To empower a minor girl to complete her education by raising awareness about the importance of education and the legal implications of marrying a minor | 0.6968
,,,,,,41266 | To improve education and delay marriages in rural Bihar by organizing education chaupals and encouraging parents to educate their children | 0.6511
,,,,,,41267 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41268 | To empower girls through education and reduce child marriage | 0.7166
,,,,,,40543 | To educate girls and prevent child marriage | 0.7192
,,,,,,40545 | To encourage girls' education in rural Rohtas by advising parents to educate their daughters at least until they grow up and then marry them off | 0.6569
,,,,,,41430 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,41452 | To educate the girl child and prevent child marriage | 0.7101
,,,,,,41475 | To bring back a girl who dropped out of school and make her understand the importance of education | 0.6819
,,,,,,41529 | To empower girls through education and reduce dropout rates | 0.6323
,,,,,,28629 | To educate girls about the importance of education and the disadvantages of early marriage | 0.8074
,,,,,,48996 | To bring back 25 girls who had dropped out of school due to distance and parental incomprehension | 0.6553
,,,,,,49009 | To stop child marriage and promote education for girls | 0.8177
,,,,,,49028 | To educate parents about the importance of girls' education and to stop child marriage | 0.7829
,,,,,,49026 | To encourage girls to study and not get married at a young age | 0.7751
,,,,,,5803 | To educate girls and prevent child marriage | 0.7192
,,,,,,4956 | To educate parents and children about the importance of girls' education | 0.6419
,,,,,,28703 | To encourage girls to attend school and highlight the importance of education for their future | 0.6256
,,,,,,6924 | To increase the age of education and prevent child marriage by improving teacher accountability and community awareness | 0.6913
,,,,,,4254 | To raise awareness against child marriage and promote education among girls | 0.7575
,,,,,,7290 | To increase awareness about the importance of education among girls | 0.6318
,,,,,,8037 | To encourage girls to continue their education and not drop out of school | 0.764
,,,,,,29225 | To increase school attendance by addressing child labor and marriage issues | 0.6811
,,,,,,4289 | To reduce child marriage by raising awareness through rallies and slogans | 0.6262
,,,,,,8066 | To educate women about the problems caused by child marriage and encourage them to cooperate in preventing it | 0.6494
,,,,,,28720 | To create awareness about the negative impacts of child marriage among children and to encourage them to report such cases. | 0.7235
,,,,,,28955 | To empower girls through education and reduce dropout rates | 0.6323
,,,,,,16488 | To educate girls who dropped out of school after studying till the fifth grade | 0.7379
,,,,,,4101 | To encourage girls to attend school regularly | 0.6023
,,,,,,5700 | To stop child marriage and empower girls | 0.6844
,,,,,,16515 | To empower girls through education and reduce dropout rates | 0.6323
,,,,,,"5841 | To encourage girls to attend school and receive a proper education, rather than just studying in madrasas | 0.6074"
,,,,,,5929 | To improve education in rural Bihar by addressing the issue of child marriage and encouraging children to attend school | 0.697
,,,,,,7598 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,18142 | To educate villagers about the importance of educating their children before marriage and preventing child marriage | 0.6773
,,,,,,6648 | To address the issue of girls dropping out of school due to distance and lack of access to nearby colleges | 0.7119
,,,,,,28744 | To create awareness among children about the problems caused by child marriage and to prevent it | 0.7418
,,,,,,28752 | To stop child marriage in the village | 0.7577
,,,,,,"8368 | To ensure all girls in the community attend school and receive an education, addressing the issue of girls being deprived of education and married before the age of 18 | 0.7502"
,,,,,,8530 | To ensure girls attend school regularly and delay marriage until the age of 18 | 0.7437
,,,,,,16474 | To prevent child marriage by educating children and their parents about its negative consequences and promoting self-reliance | 0.7497
,,,,,,9212 | To educate parents about the importance of not marrying their children before the age of 18 and to encourage them to educate their children | 0.687
,,,,,,15046 | To create awareness about education and curb child marriage | 0.7501
,,,,,,10450 | To encourage girls to attend school and prevent child marriage | 0.7726
,,,,,,15110 | To encourage girls to continue their education and become aware of its importance | 0.6289
,,,,,,15059 | To encourage and support girls from disadvantaged backgrounds to continue their education beyond the 8th grade | 0.6399
,,,,,,10397 | To reduce early marriage and promote education among girls in the community | 0.7887
,,,,,,10470 | To prevent child marriage by educating parents and adolescents about its negative consequences and promoting vocational training for adolescent empowerment | 0.7291
,,,,,,15085 | To solve the problem of girls being forced to leave school due to distance | 0.6791
,,,,,,4205 | To prevent child marriage and encourage girls to pursue their education by engaging grandparents and the community | 0.7253
,,,,,,12586 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,28792 | To create awareness about the importance of education for girls and the legal consequences of child marriage | 0.752
,,,,,,11473 | To empower daughters through education and delay their marriage until they are ready | 0.6681
,,,,,,4196 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,28993 | To encourage girls to continue their education by obtaining certificates and enrolling in further studies | 0.6455
,,,,,,"15053 | To educate parents about the importance of education for girls and the legal consequences of child marriage, and to encourage them to support their daughters | 0.7086"
,,,,,,10437 | To stop child marriage and promote education | 0.8296
,,,,,,16260 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,15513 | To educate women about the problems caused by child marriage and empower them to make informed decisions | 0.6571
,,,,,,15190 | To improve school attendance among girls by educating parents about the importance of education | 0.6588
,,,,,,"13887 | To raise awareness about child marriage among children in Varuna, Mysuru, Karnataka | 0.6573"
,,,,,,23288 | To improve school safety and education for girls by building a boundary and promoting education over early marriage | 0.7227
,,,,,,23339 | To encourage teenage girls to continue their education beyond the eighth grade | 0.6326
,,,,,,27237 | To empower women and children through education and prevent child marriage | 0.7209
,,,,,,8060 | To educate women about the problems caused by child marriage and encourage them to take action against it | 0.6668
,,,,,,7875 | To solve the problem of child marriage in the village | 0.7867
,,,,,,13909 | To educate and raise awareness about the negative impacts of child marriage among the community | 0.7962
,,,,,,8540 | To create awareness about the negative effects of child marriage and promote education among girls | 0.7754
,,,,,,13443 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,3985 | To create awareness about the importance of higher education for girls and the harmful effects of child marriage and mismatched marriages | 0.739
,,,,,,13917 | To educate children about the problems caused by child marriage and promote awareness | 0.7431
,,,,,,4951 | To educate families about the importance of girls' education | 0.6299
,,,,,,4259 | To encourage girls to pursue education and delay marriage | 0.7784
,,,,,,4262 | To empower girls and prevent child marriage through education and awareness | 0.7044
,,,,,,28820 | To educate girls and delay their marriage until they are 18 years old | 0.705
,,,,,,16425 | To empower adolescent girls through education and reduce dropout rates | 0.6442
,,,,,,8075 | To create awareness about child marriage in schools | 0.7584
,,,,,,4112 | To encourage girls to attend school and continue their education | 0.6717
,,,,,,18242 | To improve education by engaging the community and stopping child marriage | 0.8002
,,,,,,9387 | To raise awareness about the negative effects of child marriage and promote education as a means to prevent it | 0.7539
,,,,,,16670 | To encourage girls to continue their education | 0.6714
,,,,,,10457 | To educate girls and women in rural areas and delay child marriages | 0.6714
,,,,,,11478 | To ensure girls in Amma Bigha village can safely attend school by building a road and addressing the issue of child marriage | 0.6196
,,,,,,15484 | To educate girls about the harm caused by early marriage | 0.6955
,,,,,,4307 | To reduce the number of dropouts among migrant children by convincing their families of the importance of education and working with schools to admit them | 0.6119
,,,,,,3854 | To increase the education of girls in the community by stopping child marriage | 0.7777
,,,,,,15277 | To resolve the problem of girls leaving school after fifth or eighth grade due to child marriage | 0.7797
,,,,,,15281 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,28834 | To improve girls' education in rural India | 0.6575
,,,,,,17107 | To improve the regular attendance of girls in school by addressing parental dissatisfaction and lack of awareness about the importance of education | 0.6554
,,,,,,4155 | To stop child marriage in Peerapur village by educating parents and community members about its harmful effects and legal consequences | 0.7262
,,,,,,4034 | To promote girl education and eliminate child marriage in the community | 0.756
,,,,,,3974 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,12908 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,3980 | To increase awareness about the importance of education among girls and their families | 0.6305
,,,,,,3969 | To empower girls in the community by delaying marriages until they complete their education | 0.7069
,,,,,,29222 | To improve school attendance by addressing child marriage and child labor | 0.6827
,,,,,,3757 | To empower women to take a stand against child marriage and create a positive impact in their community | 0.6748
,,,,,,4140 | To stop child marriage and encourage girls to study by celebrating Grandparents Day | 0.6297
,,,,,,28853 | To empower girls through education and stop child marriage | 0.7292
,,,,,,29104 | To motivate girls to pursue education and reduce child marriage | 0.7374
,,,,,,15483 | To prevent early marriage by educating the girl and her parents about its harmful effects | 0.7158
,,,,,,17514 | To educate women and prevent child marriage in the community | 0.7521
,,,,,,15998 | To empower girls through education and reduce the number of girls dropping out of school | 0.6756
,,,,,,20817 | To empower girls through education by addressing the problem of early marriage and lack of access to education | 0.7635
,,,,,,16368 | To educate children about the problems caused by child marriage and gender sensitization | 0.7283
,,,,,,21524 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,8015 | To educate girls and prevent child marriage | 0.7192
,,,,,,13380 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,4137 | To empower girls through education and improve their attendance in school | 0.6016
,,,,,,16033 | To encourage girls who had dropped out of school to re-enroll and continue their education | 0.7293
,,,,,,"5005 | To address the problem of boys dropping out of school due to social expectations and family pressures, and to encourage them to pursue higher education. | 0.6703"
,,,,,,5031 | To shift parental attitudes that deprioritize girls' education | 0.6731
,,,,,,"5033 | Prevent dropouts due to early marriage or abuse by identifying at-risk girls, intervening through counseling and legal referrals, and promoting continuing education as an alternative to early marriage | 0.6565"
,,,,,,12249 | To raise awareness about the problems caused by child marriage and empower women to take action against it | 0.6528
,,,,,,13905 | To educate women about the negative effects of child marriage and empower them to make informed decisions | 0.6652
,,,,,,7792 | To stop child marriage and promote girls' education | 0.8264
,,,,,,16026 | To prevent early marriage and promote education among girls in the community | 0.772
,,,,,,7105 | To empower daughters through education and prevent child marriage | 0.6965
,,,,,,15137 | To address the lack of education among adolescent girls and to inform them about government schemes related to schooling and to explain to their parents the importance of education | 0.6571
,,,,,,13397 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,4157 | To improve girls' attendance in school and empower them through education | 0.608
,,,,,,17293 | To stop child marriage and promote education | 0.8296
,,,,,,18685 | To stop child marriage and ensure girls are married after 18 and boys after 21 | 0.6898
,,,,,,4277 | To encourage girls in Narwara village to continue their education after failing in matriculation | 0.6146
,,,,,,4292 | To empower girls through education and prevent child marriage | 0.7284
,,,,,,9311 | To improve girls education in rural Bihar | 0.6381
,,,,,,12571 | To encourage girls to attend school and prevent child marriage | 0.7726
,,,,,,28453 | To stop child marriage and promote education among girls in the village | 0.7476
,,,,,,28458 | To empower girls in Keva village by stopping child marriage and encouraging higher education | 0.632
,,,,,,28506 | To empower the children of Village Amarpur by providing them with access to education and stopping child marriage | 0.6247
,,,,,,29061 | To educate girls about the negative impacts of child marriage and inspire them to complete their studies | 0.6902
,,,,,,"29278 | To create awareness about the importance of education and to encourage girls to pursue their studies, thereby reducing dropout rates and child marriages | 0.777"
,,,,,,29422 | To promote girls' education and prevent child marriage in the community | 0.722
,,,,,,29425 | To empower girls through education and reduce dropout rates | 0.6323
,,,,,,40411 | To empower girls through education and delay early marriages | 0.7216
,,,,,,"33807 | To empower rural communities by addressing the issues of child marriage, child labor, and lack of education | 0.6622"
,,,,,,"33855 | To improve education in Khanpura by addressing the issues of child marriage, child labour, and lack of access to education | 0.6352"
,,,,,,34148 | To educate villagers about the importance of education and the dangers of child marriage and child labor | 0.617
,,,,,,40473 | To encourage girls to attend school regularly and understand the importance of education | 0.6228
,,,,,,30289 | To educate women and girls in the community and delay their marriages until they are 18 years old | 0.6498
,,,,,,30309 | To educate girls and delay their marriage until they are at least 18 years old | 0.6996
,,,,,,40417 | To ensure that no girl child remains out of school and everyone is connected to the mainstream of school so that they can get education at least till 12th standard | 0.6553
,,,,,,33515 | To address the issue of child marriage and lack of education in the village by engaging with families and providing them with information about government facilities and the importance of education | 0.6675
,,,,,,40256 | To stop child marriage and encourage education | 0.852
,,,,,,40451 | To educate girls in rural Bihar by enrolling them in school and making their parents understand the importance of education | 0.6227
,,,,,,31085 | To stop child marriage through education and awareness | 0.8188
550e8400-e29b-41d4-a716-446655440007,Teacher Capacity and Quality Issues,"This theme covers responses highlighting challenges related to insufficient teachers or concerns about teaching quality. It includes issues such as vacant positions, irregular teacher attendance, overburdened staff, and gaps in subject knowledge or pedagogy. These factors affect the learning environment and reduce children's motivation to attend school regularly.","Shortage,quality issue,teacher not on time,dont pay attention,slow learning progress,academic progress,lack in academics,Lack of english education,para teacher,shiksha mitra,single teacher,teacher absent,no subject teacher,election duty,teacher vacancy,learning progress,english medium,illiterate parents,children learning,teacher transfer,frequent teacher change,teacher absent regularly,no subject-wise teacher,no trained teacher,multi-grade teaching,overcrowded classroom,children not learning,reading not improved,numeracy weak,teacher on election duty,teacher not attentive,no English teacher,poor teaching quality,children learning slow,learning english,kasturba gandhi,struck off,rural areas,digital divide,internet access,english learning,government schools,subject recruitment,tola sevak",Approved,137,114 | To improve the quality of education in remote areas by addressing the shortage of qualified teachers and inadequate infrastructure | 0.6622
,,,,,,68 | To improve the quality of education in government schools | 0.6319
,,,,,,50 | Improve girl attendance in school | 0.6029
,,,,,,"149 | To address the challenges of teacher shortages, cultural and linguistic barriers, and lack of digital literacy skills in rural schools | 0.6028"
,,,,,,183 | To increase student motivation and attendance | 0.6216
,,,,,,146 | To improve parental involvement in education and enhance student learning outcomes | 0.6006
,,,,,,"115 | To enhance the quality of education in government schools by addressing infrastructure, teaching quality, and resource issues. | 0.6089"
,,,,,,120 | To address challenges in government schools and improve the quality of education | 0.6201
,,,,,,153 | To improve student performance by increasing parental involvement in their child's education | 0.6245
,,,,,,4213 | To improve girls’ attendance in school | 0.6274
,,,,,,28598 | To address the issue of irregular attendance due to migrant parents and lack of access to nearby schools | 0.6376
,,,,,,4219 | To address the teacher shortage in the school by informing the school board about the issue | 0.65
,,,,,,"2544 | To improve the quality of education in villages by addressing the lack of teaching staff, transport, and poor facilities | 0.752"
,,,,,,3956 | To increase student attendance by identifying and addressing the root causes of low attendance | 0.6829
,,,,,,3733 | To provide a fun and educational experience for children despite challenges | 0.6107
,,,,,,28607 | To improve school attendance by encouraging parents to prioritize education | 0.6012
,,,,,,3684 | To improve in a subject where the teacher was not supportive | 0.6136
,,,,,,3531 | To motivate disadvantaged children to study and learn new skills by involving their parents | 0.6385
,,,,,,3806 | To increase student attendance by engaging parents through regular meetings | 0.6068
,,,,,,28662 | To increase parental involvement in their children's education | 0.6369
,,,,,,4455 | To increase student attendance by making classes more engaging and involving parents through regular PTMs | 0.6239
,,,,,,3800 | To address the issue of no teachers in the school due to lack of salaries | 0.6588
,,,,,,41603 | To improve education in the community by addressing the lack of teacher education and providing a safe and accessible learning environment | 0.7196
,,,,,,5787 | To increase student attendance by engaging them through Parent-Teacher Meetings and fun classes | 0.676
,,,,,,3807 | To address the issue of low attendance by engaging with parents and understanding their concerns | 0.6287
,,,,,,40669 | To educate parents about the importance of timely enrollment and regular attendance in school for their children | 0.6057
,,,,,,41685 | To improve daily school attendance by educating parents on its importance and providing support to children | 0.609
,,,,,,40853 | To increase parental involvement in children's education | 0.6195
,,,,,,41037 | To enroll a girl in school who was not attending due to parental negligence | 0.7631
,,,,,,41083 | To improve education by increasing parental involvement and understanding of its importance | 0.614
,,,,,,41119 | To improve children's education | 0.6055
,,,,,,41204 | To enroll children in school and improve attendance | 0.6802
,,,,,,28651 | To encourage parents to take responsibility for their children | 0.6205
,,,,,,3689 | To address the issue of not coming to school on time | 0.7032
,,,,,,3688 | To address the issue of kids not coming to school on time | 0.7212
,,,,,,41428 | To improve student attendance and awareness about education in rural Rajasthan | 0.6074
,,,,,,41495 | To improve children's education | 0.6055
,,,,,,"41545 | To address the issue of teacher negligence and lack of parental involvement in education, thereby improving the overall quality of education for children in the community. | 0.795"
,,,,,,48903 | To convey the importance of education to parents | 0.6062
,,,,,,49020 | To increase enrollment in government schools by addressing parental concerns about English language instruction | 0.6098
,,,,,,16536 | To educate parents about the importance of education | 0.6176
,,,,,,4214 | To improve school attendance by increasing awareness about the importance of education and providing incentives for regular attendance | 0.6629
,,,,,,4222 | To increase attendance of children in school by making them interested in studies | 0.617
,,,,,,7216 | To improve the condition of the school by addressing the issues of teacher carelessness and poor food quality | 0.6968
,,,,,,28949 | To improve children's learning | 0.7441
,,,,,,4931 | To improve education in rural areas by addressing the lack of specialized teachers and encouraging children to attend school | 0.6557
,,,,,,28951 | To improve children's learning | 0.7441
,,,,,,28952 | To improve children's learning | 0.7441
,,,,,,3891 | To increase student attendance by identifying and addressing the root causes of low attendance | 0.6829
,,,,,,28953 | To improve children's learning | 0.7441
,,,,,,3911 | To provide a designated place for children to study | 0.6054
,,,,,,28954 | To improve children's learning by engaging parents and community | 0.6075
,,,,,,4106 | To improve school attendance by addressing the lack of effective teaching and engaging parents in the educational process | 0.6929
,,,,,,28965 | To enhance teacher skills and improve education quality | 0.736
,,,,,,7213 | To educate children and make them progress further | 0.653
,,,,,,"29221 | To address the issue of children being deprived of education due to parental negligence in Note Tola, Manihari village, by raising awareness and providing access to education | 0.6523"
,,,,,,28969 | To improve children's learning | 0.7441
,,,,,,28971 | To improve children's learning | 0.7441
,,,,,,28972 | To improve children's learning | 0.7441
,,,,,,16672 | To improve school attendance | 0.6697
,,,,,,10364 | To improve education in Khudi Bakhari by addressing teacher shortage | 0.6061
,,,,,,15091 | To improve the attendance of children in school | 0.7152
,,,,,,29268 | To improve the education of underprivileged children by increasing their attendance and interest in studies | 0.6077
,,,,,,29283 | To improve learning by increasing attendance and interest in classes | 0.6063
,,,,,,29285 | To educate parents about their role in their children's education | 0.6436
,,,,,,4207 | To improve attendance in the school by addressing the root cause of poverty and child labor | 0.6657
,,,,,,15258 | To improve school attendance by addressing the issue of students doing household work instead of attending school | 0.631
,,,,,,3855 | To improve the quality of education in rural areas by addressing the shortage of quality teachers | 0.7285
,,,,,,12143 | To provide a separate place for children to study | 0.6265
,,,,,,7150 | To provide a separate place for children to study | 0.6265
,,,,,,28815 | To motivate children to continue their education beyond 10th class by addressing the lack of results and parental skepticism | 0.6147
,,,,,,16372 | To improve children's learning | 0.7441
,,,,,,4229 | To improve teaching skills of teachers in the school | 0.6328
,,,,,,3331 | To improve attendance in school by motivating parents and kids | 0.6151
,,,,,,4515 | To increase children participation in learning together | 0.616
