Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,16206 | To empower women through education and increase awareness about the importance of education | 0.8651
,,,,,,16263 | To support his daughter | 0.3964
,,,,,,18916 | To promote girls' education | 0.8804
,,,,,,16402 | To promote girls' education | 0.8804
,,,,,,28890 | To empower tribal girls through education and sensitization of teachers | 0.7068
,,,,,,3912 | To empower girls through education and make them aware of its importance | 0.962
,,,,,,4197 | To eliminate discrimination between boys and girls in schools | 0.6858
,,,,,,11611 | To empower women leaders in the community through education and motivation | 0.7994
,,,,,,15245 | To empower girls through education and make them aware of their rights | 0.9189
,,,,,,15221 | To empower girls in the village to complete their education and improve their socio-economic status | 0.8761
,,,,,,"13671 | To empower women and provide separate study spaces for children, enhancing their educational experience and promoting a culture of learning. | 0.814"
,,,,,,12619 | To empower girls through education and create a better future for them | 0.9457
,,,,,,4160 | To empower girls through education | 0.9568
,,,,,,4104 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,15317 | To promote girls education and empower them through knowledge | 0.922
,,,,,,"4158 | To create a safe space for adolescent girls to openly discuss their issues and rights, addressing the problem of lack of information and education. | 0.699"
,,,,,,15320 | To promote girls' education and empower them through community engagement | 0.859
,,,,,,4137 | To empower girls through education and improve their attendance in school | 0.8912
,,,,,,15381 | To empower girls in the community by providing them with access to education | 0.9395
,,,,,,3973 | To promote equal opportunities for girls in education and challenge discriminatory attitudes | 0.7522
,,,,,,19229 | To empower girls through education | 0.9568
,,,,,,19217 | To empower women in the village to educate their children by explaining the importance of education | 0.8307
,,,,,,14445 | To empower women through education and improve school infrastructure | 0.8321
,,,,,,16024 | To empower women in the village by discussing their health issues and village sanitation | 0.6145
,,,,,,4237 | To empower girls through education and raise awareness about its importance | 0.9532
,,,,,,4269 | To empower girls through education and create a brighter future for them | 0.9434
,,,,,,4279 | To educate girls about their rights and roles in society | 0.8561
,,,,,,5012 | To empower girls through education by changing parental attitudes and enrolling children in school | 0.8504
,,,,,,5349 | To empower girls in the community by providing them with access to education and job opportunities | 0.908
,,,,,,14889 | To empower girls through education and overcome social and economic barriers | 0.8945
,,,,,,4596 | To connect girls to school for education and empower them | 0.9082
,,,,,,5031 | To shift parental attitudes that deprioritize girls' education | 0.7351
,,,,,,4299 | To increase awareness and participation of girls in Kishori Manch meetings | 0.5966
,,,,,,15338 | To empower girls through education by encouraging their parents to send them to school | 0.8924
,,,,,,3863 | To provide job training to unemployed women and empower them to take up local job opportunities | 0.5971
,,,,,,13880 | To educate women and children about gender sensitivity and promote awareness in the community | 0.6808
,,,,,,17855 | To enhance education among girls in lower-class and poverty-stricken areas by addressing the lack of education and promoting development | 0.755
,,,,,,"16140 | To empower girls through education and make them aware of their goals, strategies, and life | 0.9323"
,,,,,,16703 | To empower girls through education and improve their future prospects | 0.9443
,,,,,,"13709 | To provide school bags to children who do not have them, thereby promoting education and empowering women in the community. | 0.6637"
,,,,,,22044 | To empower women and teenagers through education and awareness | 0.8473
,,,,,,10195 | The objective was to improve the mental safety of girls through education and awareness | 0.6609
,,,,,,4604 | To empower women through education and improve their socio-economic status | 0.835
,,,,,,5056 | To empower girls through education by addressing the issue of gender discrimination and household responsibilities | 0.827
,,,,,,4146 | To improve women's health and well-being | 0.622
,,,,,,12806 | To create awareness about women safety among the community | 0.5338
,,,,,,28459 | To empower girls through education and help them overcome poverty | 0.924
,,,,,,28467 | To empower girls through education and create a brighter future for them | 0.9434
,,,,,,29057 | To promote girls' education and provide equal opportunities for all | 0.8753
,,,,,,29230 | To raise awareness about the importance of education and the role of women leaders in driving change | 0.5694
,,,,,,29059 | To empower women in education | 0.8777
,,,,,,28478 | To empower girls through education and make them aware of its importance | 0.962
,,,,,,29319 | To create a platform for adolescent girls in the community to empower them and bring about positive change | 0.7203
,,,,,,29417 | To encourage girls to pursue education and create a supportive community | 0.8888
,,,,,,29462 | To empower girls through education and create a supportive community | 0.9447
,,,,,,4031 | To provide education to girls in the community and empower them | 0.9343
,,,,,,4110 | To educate girls and empower them to make a positive impact in their communities | 0.8915
,,,,,,15502 | To empower girls through education | 0.9568
,,,,,,30811 | To empower girls through education by helping them obtain necessary documents and enrolling them in school | 0.9239
,,,,,,40409 | To empower girls through education and make them aware of its importance | 0.962
,,,,,,40426 | To empower Neha and other girls in the community through education | 0.7729
,,,,,,31172 | To empower women through education and help them understand the importance of education | 0.8883
,,,,,,30439 | To increase awareness among women about the importance of education | 0.722
,,,,,,40386 | To empower girls through education and motivate them to pursue their dreams | 0.9133
,,,,,,40483 | To empower girls through education and convince parents to enroll them in school | 0.9218
,,,,,,40499 | To empower girls through education by providing them with access to quality education and resources | 0.9284
,,,,,,33618 | To empower teenage girls through education and provide them with opportunities for a better future | 0.9057
,,,,,,32733 | To empower girls through education and support from their parents | 0.9218
,,,,,,40495 | To educate girls and make them aware of their rights | 0.8142
,,,,,,40208 | To empower girls through education and increase their enrollment in schools | 0.9377
,,,,,,40448 | To empower girls through education and improve their socio-economic status | 0.9163
,,,,,,40398 | To increase awareness and participation of women in their children | 0.7311
,Sustaining Educational Engagement and Completion,"This theme encompasses strategies and interventions aimed at preventing student attrition and ensuring the continuity of education, particularly for vulnerable populations. It addresses the multifaceted factors contributing to dropout, including socioeconomic challenges, familial issues, and the need for supportive learning environments, with the ultimate goal of fostering academic persistence and lifelong learning.","dropout prevention,educational continuity,student retention,socioeconomic support,parental engagement,academic persistence,vulnerable students",Draft,239,62 | To reduce dropout rates at the local high school | 0.6124
,,,,,,26 | Reduce school dropout rate | 0.4653
,,,,,,28 | Reduce school drop out rate | 0.4572
,,,,,,67 | Reduce dropout rates among students from marginalized communities or economically disadvantaged backgrounds | 0.4757
,,,,,,119 | To address the issue of increasing drop-out rates and decreasing academic performances by improving the school infrastructure | 0.5667
,,,,,,"121 | To reduce dropout rates and improve student attendance in government schools by addressing poverty, child labor, and lack of parental support | 0.7214"
,,,,,,6689 | To encourage parents to educate their daughters and help them overcome hesitation in speaking in front of others | 0.6881
,,,,,,28637 | To enhance education by engaging parents and providing resources to underprivileged children | 0.7717
,,,,,,3330 | To decrease dropout rates by providing personalized learning pathways and real-world learning experiences | 0.365
,,,,,,28605 | To support a child’s education by addressing the challenges faced due to their father’s alcoholism and ensuring they receive the necessary support to continue their schooling. | 0.6781
,,,,,,3531 | To motivate disadvantaged children to study and learn new skills by involving their parents | 0.7869
,,,,,,28640 | To ensure uninterrupted education for children from disadvantaged backgrounds by providing community support and motivating parents. | 0.8096
,,,,,,3978 | To provide financial and emotional support to underprivileged students to help them continue their education | 0.7836
,,,,,,3174 | To motivate children and help them develop a positive mindset | 0.6819
,,,,,,28557 | To educate children and make them self-sufficient in the future | 0.8347
,,,,,,5191 | To address the issue of subordination in education and promote understanding of health and education among teenagers | 0.5369
,,,,,,"40561 | To promote education and eliminate unemployment in the community by advising parents to start small businesses or work as laborers, and encouraging children to attend school daily. | 0.7857"
,,,,,,41579 | To make Gunja aware of the importance of education | 0.6477
,,,,,,40580 | To improve education by obtaining necessary documents for school enrollment | 0.6967
,,,,,,40592 | To empower children with necessary documents for education | 0.7728
,,,,,,41606 | To educate children and make them aware of the importance of education | 0.8857
,,,,,,3920 | To help children who are not attending school to reach school and receive an education | 0.8445
,,,,,,28669 | To increase enrollment in schools by addressing the issue of not being enrolled | 0.695
,,,,,,40637 | To empower education in the community by addressing the lack of parental involvement and motivating parents to send their children to school daily | 0.8162
,,,,,,40641 | To provide education to underprivileged children | 0.851
,,,,,,40652 | To ensure children are admitted to school and receive proper education | 0.8233
,,,,,,41680 | To empower education by informing parents about government schemes and ensuring children attend school | 0.7895
,,,,,,40674 | To re-enroll children who dropped out of school due to domestic reasons | 0.6773
,,,,,,40694 | To empower children through education by providing them with necessary documents and enrolling them in school | 0.868
,,,,,,40703 | To make parents aware of the importance of education | 0.8357
,,,,,,40704 | To increase enrollment of children in school by addressing poverty and lack of information | 0.7641
,,,,,,"40706 | To motivate parents to enroll their children in school at the right age, overcoming the challenge of lack of awareness about education and the right age for enrollment | 0.8058"
,,,,,,40718 | To educate parents about the importance of education and enroll children in school | 0.8723
,,,,,,40729 | To ensure all children in the community have access to education by addressing enrollment barriers | 0.7557
,,,,,,9520 | To encourage parents to send their children to school by explaining the benefits of education | 0.8987
,,,,,,40857 | To increase the enrollment of children in school | 0.8216
,,,,,,40858 | To enroll children in school who were not previously enrolled due to lack of information | 0.6566
,,,,,,40863 | To address the lack of education and information about benefits of various schemes in the community by organizing regular meetings and providing support to children and their families. | 0.7187
,,,,,,40876 | To make parents aware about the education of their children | 0.8496
,,,,,,40908 | To ensure children from poor families do not drop out of school | 0.8302
,,,,,,18968 | To make parents aware of the importance of education and encourage them to take advantage of government facilities to secure a better future for their children | 0.8377
,,,,,,40915 | To enroll 15 children of Nat Tola who had left their studies midway back into school | 0.5328
,,,,,,40916 | To provide education to underprivileged children despite financial constraints | 0.7738
,,,,,,16630 | To educate schoolchildren about the importance of health and nutrition | 0.6814
,,,,,,"40951 | To ensure every child has access to education, regardless of their background or caste | 0.7765"
,,,,,,16631 | To educate school children about health and its importance | 0.7131
,,,,,,40967 | To enroll children in school and make parents aware of the importance of education | 0.8808
,,,,,,41013 | To understand the importance of education and make it a priority in our daily lives | 0.6861
,,,,,,41029 | To educate parents about the importance of education and encourage them to enroll their children in school | 0.9028
,,,,,,28575 | To educate parents about the importance of education and encourage them to support their children | 0.8976
,,,,,,41039 | To improve education for underprivileged children by providing them with access to quality education and resources. | 0.823
,,,,,,28648 | To get the school rooms painted by involving the children in the decision-making process and finding alternative solutions when the SDMC didn't take responsibility | 0.6114
,,,,,,41097 | To help parents understand the importance of education and get their children admitted to school | 0.8943
,,,,,,41106 | To empower children through education by raising awareness about the importance of education and the benefits of government schemes available in schools | 0.7844
,,,,,,41115 | To educate disadvantaged children and empower them through education | 0.8577
,,,,,,41120 | To enroll boys above 6 years old in school | 0.6196
,,,,,,28623 | To empower girls through education and reduce dropout rates | 0.7007
,,,,,,41139 | To enroll unenrolled children in school and ensure they receive an education | 0.8355
,,,,,,41140 | To make children and parents aware about education | 0.8436
,,,,,,41143 | To improve education for underprivileged children by convincing their parents and helping them get admitted to school | 0.8678
,,,,,,41157 | To educate Reema and her family about the importance of education | 0.6837
,,,,,,"5883 | To promote education and sports in the school, ensuring that students do not abandon their studies for sports | 0.5758"
,,,,,,"41198 | To ensure that all children, including those who fail in Class 10, are allowed to continue their education. | 0.6821"
,,,,,,"28672 | To encourage and support students to continue their education beyond 8th class, addressing the issue of limited educational opportunities due to poverty | 0.6982"
,,,,,,41224 | To make Nirmala understand the importance of education | 0.649
,,,,,,"28650 | To empower children by encouraging their participation in discussions and decision-making processes, thereby enhancing their educational experience. | 0.7228"
,,,,,,"41254 | To empower education through community support and ensure that every child has access to quality education, regardless of their background or circumstances. | 0.8288"
,,,,,,4026 | To improve education by making parents aware of its importance and the benefits of government schemes | 0.7499
,,,,,,28651 | To encourage parents to take responsibility for their children | 0.7507
,,,,,,13982 | To provide necessary educational materials to underprivileged children | 0.7498
,,,,,,40519 | To reduce child labour by creating awareness about the importance of education and providing free admission to children | 0.7448
,,,,,,3689 | To address the issue of not coming to school on time | 0.6754
,,,,,,3688 | To address the issue of kids not coming to school on time | 0.7702
,,,,,,41300 | To improve the education of children whose fathers are alcoholics by providing them with a supportive environment and resources. | 0.6403
,,,,,,41313 | To enroll children in school who were not previously enrolled | 0.6441
,,,,,,15443 | To educate people on how to save lives in emergency situations | 0.5077
,,,,,,15444 | To educate people on how to save lives when in danger | 0.5432
,,,,,,41344 | To educate teenagers and their families about the importance of education and encourage them to send their children to school | 0.8812
,,,,,,41356 | To help a teenager get education despite her father | 0.6586
,,,,,,41413 | To empower children and eliminate poverty through education | 0.8089
,,,,,,28627 | To encourage a teenager to attend school regularly and complete her education | 0.7801
,,,,,,41444 | To educate children and make families happy | 0.7966
,,,,,,41466 | To educate children and empower them to break the cycle of poverty | 0.7729
,,,,,,41468 | To motivate children to attend school by explaining the importance of education to their parents | 0.8414
,,,,,,41474 | To enroll a child in a government school who was unable to do so due to not having a transfer certificate (TC) from their previous private school. | 0.5922
,,,,,,41478 | To highlight the importance of education in personal life | 0.632
,,,,,,41508 | To educate parents about the importance of education for their children and encourage them to send their children to school | 0.9018
,,,,,,41529 | To empower girls through education and reduce dropout rates | 0.7007
,,,,,,41542 | To help a family overcome the father's addiction to alcohol | 0.3834
,,,,,,48903 | To convey the importance of education to parents | 0.7954
,,,,,,48920 | To ensure all children in the community have access to education and enroll them in school | 0.8415
,,,,,,48922 | To enroll children in school who were not enrolled due to distance | 0.6271
,,,,,,48925 | To enroll Ankit in school despite his mother | 0.5338
,,,,,,49010 | To reduce the number of children dropping out of school due to poor financial conditions by engaging with parents and informing them about government schemes | 0.8062
,,,,,,48982 | To educate parents about the importance of education in eradicating poverty | 0.7798
,,,,,,49019 | To re-enroll children who had dropped out of school due to various reasons and provide them with access to education | 0.7708
,,,,,,16340 | To educate people about the constitution | 0.5646
,,,,,,16536 | To educate parents about the importance of education | 0.8619
,,,,,,28707 | To reduce the irregular absence of children in school due to parental immigration | 0.6885
,,,,,,4553 | To increase enrollment and reduce dropout rates in government schools by addressing the concerns of parents and improving school facilities | 0.7137
,,,,,,14890 | To provide extra support to students from poor backgrounds and improve their educational outcomes | 0.7647
,,,,,,4371 | To provide educational support to migrant children and reduce dropout rates | 0.7452
,,,,,,4699 | To provide school bags to poor children and encourage them to read | 0.7181
,,,,,,28717 | To reduce the number of immigrant students in our school by educating them and convincing parents not to migrate unnecessarily | 0.7184
,,,,,,4387 | To bring dropped children back to school and provide them with education awareness and values | 0.8237
,,,,,,3982 | To provide educational opportunities to underprivileged children and improve their overall well-being | 0.8141
,,,,,,14916 | To provide quality education to underprivileged students and improve their health and well-being | 0.7383
,,,,,,5717 | To educate children and ensure everyone agrees on the importance of education | 0.8502
,,,,,,28726 | To create awareness about child labor and its effects on education | 0.6956
,,,,,,28728 | To raise awareness about the importance of education and the prohibition of child labor | 0.7369
,,,,,,4986 | To reduce child labour by providing education and convincing parents of its importance | 0.7318
,,,,,,3922 | To encourage children to go to school | 0.8744
,,,,,,3934 | To educate children from poor communities and encourage them to continue their studies beyond class 5 | 0.8197
,,,,,,28731 | To create awareness about the Child Labor Prohibition Act and its importance in preventing child labor | 0.5271
,,,,,,28955 | To empower girls through education and reduce dropout rates | 0.7007
,,,,,,28734 | To reduce child labor by educating people about the Child Labor Prohibition Act | 0.6274
,,,,,,16512 | To educate children in a deprived society by involving parents and the community | 0.7972
,,,,,,28736 | To create awareness about the importance of education and the prohibition of child labor | 0.7247
,,,,,,16515 | To empower girls through education and reduce dropout rates | 0.7007
,,,,,,28741 | To educate children about the Constitution and its importance | 0.6913
,,,,,,6511 | To educate everyone about the importance of education | 0.807
,,,,,,16427 | To explain the importance of education to parents and encourage them to send their children to school | 0.8342
,,,,,,6709 | To reduce dropout rates by raising awareness about the importance of education | 0.6931
,,,,,,6571 | To encourage parents to support their children | 0.776
,,,,,,6450 | To provide education to deprived teenagers and empower them through learning | 0.8279
,,,,,,6768 | To encourage poor parents to send their children to school by highlighting the importance of education in overcoming poverty | 0.8305
,,,,,,6877 | To improve the financial situation of the school by educating parents and reducing tension among people in society | 0.7481
,,,,,,28745 | To eradicate child labor in Beummasanahalli village by raising awareness about the Child Labor Prohibition Act | 0.4327
,,,,,,6914 | To improve education for underprivileged children by providing them with resources and support | 0.8153
,,,,,,7066 | To help children adopt good habits by educating their parents and the community about the importance of setting a good example | 0.7211
,,,,,,28760 | To educate guardians about the importance of education for their children and encourage them to send their children to school | 0.8343
,,,,,,7213 | To educate children and make them progress further | 0.847
,,,,,,8023 | To ensure that underprivileged children receive proper education and enroll in school | 0.8667
,,,,,,"7961 | To empower underprivileged children by providing them with access to government schemes and benefits, thereby improving their educational outcomes and breaking the cycle of poverty. | 0.8099"
,,,,,,8000 | To educate children of illiterate parents and empower them with knowledge | 0.7402
,,,,,,28774 | To eradicate child labor by educating the community about the Child Labor Prohibition Act | 0.569
,,,,,,16610 | To motivate children to stop playing with animals and focus on their education | 0.6324
,,,,,,"16613 | To educate parents about the importance of education and available government schemes, thereby increasing their involvement in their children | 0.8211"
,,,,,,28779 | To educate parents about the importance of education and encourage them to send their children to school regularly | 0.9105
,,,,,,9910 | To educate children despite their parents being in poverty | 0.8375
,,,,,,10171 | To improve access to education for underprivileged children | 0.7527
,,,,,,15056 | To inspire children to attend school and reduce dropout rates through community engagement and motivation | 0.7299
,,,,,,10372 | To educate children about media literacy and its importance | 0.5622
,,,,,,15113 | To educate children and help them overcome poverty | 0.8061
,,,,,,15120 | To encourage Ankush to attend school and understand the importance of education | 0.679
,,,,,,15127 | To empower disadvantaged children through education and make them aware of government schemes and organizational support that can help them | 0.8112
,,,,,,15178 | To convince parents to educate their children beyond 8th grade | 0.779
,,,,,,29285 | To educate parents about their role in their children's education | 0.8252
,,,,,,11557 | To empower children through education and make a positive impact in their lives | 0.8391
,,,,,,4016 | To motivate children to pursue education and improve their future prospects | 0.8109
,,,,,,28808 | To educate children who are not going to school | 0.8684
,,,,,,13846 | To reduce school dropout rates by raising awareness about government schemes and community engagement | 0.685
,,,,,,28995 | To help children get admitted to school by obtaining necessary documents | 0.7646
,,,,,,28811 | To educate children who are not attending school | 0.8523
,,,,,,28812 | To educate children who are not attending school | 0.8523
,,,,,,28814 | To educate children and provide them with a better future | 0.859
,,,,,,12774 | To educate children about the Preamble to the Constitution and its importance | 0.6453
,,,,,,15231 | To educate children and make their future bright | 0.8253
,,,,,,27633 | To encourage people to educate their children | 0.863
,,,,,,28815 | To motivate children to continue their education beyond 10th class by addressing the lack of results and parental skepticism | 0.7623
,,,,,,7793 | To educate children and make their parents aware of the importance of education | 0.8854
,,,,,,15834 | To educate children about the Constitution and its importance | 0.6913
,,,,,,21045 | To provide education to underprivileged children and empower them to create a better future for themselves | 0.8608
,,,,,,15050 | To motivate children to attend school and continue their education | 0.8517
,,,,,,3769 | To ensure children of migrant workers have access to education and are not forced into child labor | 0.6967
,,,,,,4380 | To reduce child labor by providing access to education and creating awareness about its importance | 0.7641
,,,,,,10182 | To provide extra lessons to children who were not receiving them due to a lack of teachers. | 0.7246
,,,,,,4240 | To address the issue of poverty by providing access to education and information about government schemes | 0.5851
,,,,,,4215 | To address the issue of no teachers due to no on-time payment by raising funds | 0.6386
,,,,,,27354 | To empower education by involving parents in the educational process and encouraging them to send their children to school. | 0.8573
,,,,,,4361 | To increase school admission among migrant children by addressing the challenges faced by their families | 0.6496
,,,,,,4359 | To educate migrant children and reduce child labor by creating awareness among parents and employers about the benefits of schooling and the harm caused by child labor | 0.6829
,,,,,,15362 | To educate a school dropout teenager and make them understand the importance of education | 0.8243
,,,,,,4995 | To provide educational support to underprivileged children and help them access government schemes and benefits | 0.8304
,,,,,,16447 | To educate the community about children's rights and promote their well-being | 0.7669
,,,,,,4858 | To increase the participation of children in school programs by encouraging their mothers to support and teach them patriotic songs. | 0.6913
,,,,,,28822 | To empower a mother to send her children to school despite economic weakness by providing information on school facilities and community support | 0.7663
,,,,,,16425 | To empower adolescent girls through education and reduce dropout rates | 0.6356
,,,,,,16444 | To inform parents about the importance of education and encourage them to admit their children to school | 0.8459
,,,,,,8392 | To empower children through education by encouraging them to attend school regularly | 0.8711
,,,,,,4307 | To reduce the number of dropouts among migrant children by convincing their families of the importance of education and working with schools to admit them | 0.742
,,,,,,28826 | To share knowledge of new developments with government school children and inspire them to make informed choices in their lives and careers | 0.7286
,,,,,,15265 | To help a child who was not interested in studies to start studying again | 0.6617
,,,,,,15284 | To motivate children to attend school regularly and have a good future | 0.8321
,,,,,,15345 | To convince parents to send their children to school | 0.8511
,,,,,,"3967 | To ensure every child, regardless of their financial background, receives an education and to encourage parents to support their children’s educational journey. | 0.7503"
,,,,,,17252 | To ensure all children can attend school without facing discrimination or hunger | 0.8179
,,,,,,"15451 | To ensure timely distribution of incentive amounts to children in school, thereby promoting education and reducing poverty | 0.7811"
,,,,,,15509 | To encourage children to study and remove poverty | 0.8124
,,,,,,15626 | To introduce children to the Constitution and its importance in their lives | 0.6318
,,,,,,15669 | To educate laborers | 0.5677
,,,,,,"15723 | To encourage parents to educate their children, especially girls, and reduce dropout rates due to household work and financial constraints. | 0.8204"
,,,,,,15722 | To provide education to underprivileged children | 0.851
,,,,,,15782 | To encourage teenagers to go to school | 0.7763
,,,,,,7364 | To promote education and empower individuals to take control of their learning | 0.6862
,,,,,,29218 | To solve the problem of children not attending school due to parental negligence | 0.6667
,,,,,,28877 | To educate parents about the importance of education for their children | 0.879
,,,,,,15047 | To educate parents about the importance of education and encourage them to send their children to school | 0.9094
,,,,,,18026 | To make children aware about the importance of education | 0.8441
,,,,,,29266 | To educate parents about the importance of education and encourage them to support their children | 0.8976
,,,,,,13742 | To provide information to children about health and discipline | 0.5824
,,,,,,28912 | To improve education by encouraging parents to pay attention to their children | 0.7784
,,,,,,4383 | To reduce dropout rates among migrant children due to poverty | 0.5586
,,,,,,14898 | To provide necessary help to first generation learners at school | 0.7052
,,,,,,4392 | To help a student who dropped out of school return to education and understand its value | 0.6567
,,,,,,15344 | To help children attend school by addressing family constraints and lack of support | 0.8052
,,,,,,15464 | To educate the community about government facilities and encourage them to send their children to school | 0.8056
,,,,,,17445 | To educate children from poor families and encourage their parents to support education | 0.8766
,,,,,,19914 | To ensure children attend school regularly and receive scholarships | 0.7893
,,,,,,15805 | To reduce dropout rates by providing bus services for students with working parents | 0.5792
,,,,,,16283 | To encourage children to continue their education beyond primary school by addressing the issue of distance to middle school and economic constraints. | 0.751
,,,,,,4132 | To enroll two children in school who were dropped out due to lack of original documents | 0.5902
,,,,,,17593 | To educate children and make them aware of the importance of education | 0.8857
,,,,,,"5009 | To address the financial burden on families and lack of awareness about education, and to motivate parents and children to prioritize education. | 0.8264"
,,,,,,"5027 | To help a boy from a poor family attend school regularly by providing immediate relief, enrolment, remedial learning, family-income linkages, community awareness, and monitoring | 0.7269"
,,,,,,4357 | To improve children's education by spreading awareness about the negative impact of child labour | 0.7019
,,,,,,"15101 | The objective of this micro-improvement is to provide a stable and supportive environment for the children to pursue their education, by addressing the issue of alcoholism and ensuring the family's well-being. | 0.5815"
,,,,,,28438 | To empower children through art and convince parents to allow them to take pictures | 0.6018
,,,,,,19955 | To improve education in the community by advising parents to send their children to school on time and not overburden them with work | 0.8213
,,,,,,28454 | To educate children who are not studying due to work interruption and parents not educating them | 0.7195
,,,,,,28487 | To educate children and break superstition in the community | 0.6047
,,,,,,28451 | To educate children and bring prosperity to their families | 0.8136
,,,,,,28484 | To promote education and ensure no child's education remains incomplete due to financial constraints | 0.8258
,,,,,,28945 | To reduce dropout rates after 8th grade by raising awareness about the importance of education and providing support to students | 0.7361
,,,,,,29377 | To educate parents about the importance of education for their children | 0.879
,,,,,,"29391 | To improve education by addressing the challenges faced by students due to family issues, such as a father's alcoholism | 0.6432"
,,,,,,"29407 | To encourage and support dropout children in resuming their studies, addressing the issue of low morale and lack of understanding of education | 0.7134"
,,,,,,29425 | To empower girls through education and reduce dropout rates | 0.7007
,,,,,,40467 | To provide educational and recreational activities to underprivileged children and encourage their participation in learning | 0.7683
,,,,,,40425 | To enroll children in school whose parents were going out to earn money | 0.7695
,,,,,,31802 | To educate parents about the importance of education and encourage them to send their children to school | 0.9094
,,,,,,35153 | To educate parents about the importance of education for their children | 0.879
,,,,,,31058 | To educate children and help them progress in life | 0.8145
,,,,,,40465 | To provide educational opportunities to underprivileged children and keep them away from begging and agricultural activities | 0.7991
,,,,,,40480 | To educate children and encourage them to attend school | 0.9173
,,,,,,"40258 | To address the issue of children dropping out of school and not understanding the importance of education, by engaging parents and children in a community-based approach. | 0.7204"
,,,,,,40271 | To educate parents about the importance of education and encourage them to enroll their children in school | 0.9028
,,,,,,40428 | To motivate people to send their children to school | 0.8566
,,,,,,40488 | To educate underprivileged children like Durga and encourage their parents to support their education | 0.7495
,Community Engagement for Educational Access and Equity,"This theme encompasses initiatives aimed at fostering community-wide understanding and support for education, with a particular focus on increasing school attendance and enrollment, especially for girls. It involves engaging various stakeholders, including parents and the broader community, to raise awareness about the value of education and address barriers to access, ultimately striving for equitable educational opportunities for all children.","community engagement,educational access,girl's education,school attendance,stakeholder relations,parental education,awareness campaigns",Draft,189,50 | Improve girl attendance in school | 0.5526
,,,,,,134 | To improve student outcomes by building strong relationships between the school and stakeholders | 0.5591
,,,,,,28527 | To increase awareness about education in the community and encourage children to attend school regularly | 0.9173
,,,,,,4074 | To increase girls' enrollment in school by educating parents about the importance of education for girls | 0.8417
,,,,,,28602 | To create awareness about the importance of education in the community | 0.8539
,,,,,,3880 | To improve girls education in the community | 0.7705
,,,,,,28610 | To create awareness about the importance of education and encourage girls to attend school regularly | 0.8854
,,,,,,28553 | To increase awareness among parents about the importance of education and to encourage them to send their children to school regularly. | 0.8687
,,,,,,28611 | To create awareness about education and ensure all children are connected to school | 0.8495
,,,,,,28666 | To increase awareness about the importance of education among girls in Kishunpur | 0.7043
,,,,,,7642 | To improve the quality of education in the community by addressing the issue of poor food quality in schools and promoting girls' education | 0.704
,,,,,,41578 | To increase awareness about the importance of education among children | 0.8773
,,,,,,40572 | To increase awareness about education and encourage parents to send their children to school | 0.9054
,,,,,,41580 | To raise awareness about the importance of education among girls and their families | 0.8938
,,,,,,40576 | To increase awareness about the importance of education among girls in the community | 0.8792
,,,,,,41583 | To raise awareness about the importance of education among adolescent girls and their parents | 0.8216
,,,,,,41590 | To increase awareness about the importance of education and enroll girls in school | 0.8787
,,,,,,41593 | To promote girl education and create awareness about the importance of education in the community | 0.8771
,,,,,,28668 | To increase awareness about the importance of education and encourage parents to enroll their children in school | 0.9076
,,,,,,40594 | To increase enrollment and attendance of children in schools through community awareness and support | 0.8102
,,,,,,7219 | To improve education in the community by providing resources and encouraging parents to send their children to school | 0.817
,,,,,,40612 | To create awareness about the importance of education in the community and encourage parents to send their children to school | 0.928
,,,,,,40634 | To connect school education to real-world change and inspire students | 0.6207
,,,,,,41654 | To increase awareness among parents about the importance of education and encourage them to enroll their children in school | 0.8726
,,,,,,5795 | To raise awareness about the importance of education among teenagers and parents | 0.8478
,,,,,,41665 | To enroll Pammi in school by spreading awareness about education among parents | 0.7393
,,,,,,"41667 | To empower the community, especially the Majhi community, to understand the importance of education and enroll their children in school | 0.79"
,,,,,,41682 | To increase interest in education among girls in the community | 0.7609
,,,,,,40671 | To increase awareness and importance of education among deprived groups | 0.7266
,,,,,,40675 | To educate girls and create awareness about the importance of education among parents | 0.8624
,,,,,,40693 | To increase awareness among parents about the importance of education and encourage them to send their children to school regularly through regular Chaupals | 0.8517
,,,,,,16573 | To increase community participation and response to the importance of girls' education through engaging and informative activities | 0.7668
,,,,,,40696 | To improve education in the community by increasing awareness and involvement of parents in their children | 0.8764
,,,,,,28670 | To improve education awareness among community people | 0.7783
,,,,,,40708 | To create awareness about the importance of education and the correct age for enrolment among parents in the community | 0.8115
,,,,,,40709 | To empower parents to stop unfair practices in schools by raising awareness and providing support | 0.7239
,,,,,,40712 | To increase girls' education in the community | 0.7887
,,,,,,16460 | To create awareness about health among school children | 0.6607
,,,,,,40724 | To create awareness about education among parents | 0.8262
,,,,,,40725 | To enroll children in school by raising awareness among parents about education | 0.87
,,,,,,40736 | To increase awareness about the importance of education among community members and encourage them to send their children to school regularly | 0.9053
,,,,,,4821 | To educate girls in the community by re-enrolling them in school and raising awareness about the importance of education | 0.8772
,,,,,,40795 | To improve education by increasing awareness among parents of children | 0.8164
,,,,,,4083 | To increase awareness about the importance of education among the community | 0.8655
,,,,,,40849 | To connect children from deprived communities with mainstream education and raise awareness about its importance | 0.7516
